county,office,district,party,candidate,votes
Adams,Attorney General,,REP,Dave Yost,7334
Adams,Attorney General,,DEM,Jeffrey A. Crossman,1488
Allen,Attorney General,,REP,Dave Yost,24882
Allen,Attorney General,,DEM,Jeffrey A. Crossman,7861
Ashland,Attorney General,,REP,Dave Yost,14679
Ashland,Attorney General,,DEM,Jeffrey A. Crossman,3894
Ashtabula,Attorney General,,REP,Dave Yost,21057
Ashtabula,Attorney General,,DEM,Jeffrey A. Crossman,9695
Athens,Attorney General,,DEM,Jeffrey A. Crossman,10474
Athens,Attorney General,,REP,Dave Yost,8586
Auglaize,Attorney General,,REP,Dave Yost,15964
Auglaize,Attorney General,,DEM,Jeffrey A. Crossman,2760
Belmont,Attorney General,,REP,Dave Yost,16563
Belmont,Attorney General,,DEM,Jeffrey A. Crossman,5972
Brown,Attorney General,,REP,Dave Yost,11681
Brown,Attorney General,,DEM,Jeffrey A. Crossman,2545
Butler,Attorney General,,REP,Dave Yost,86853
Butler,Attorney General,,DEM,Jeffrey A. Crossman,41358
Carroll,Attorney General,,REP,Dave Yost,8126
Carroll,Attorney General,,DEM,Jeffrey A. Crossman,2048
Champaign,Attorney General,,REP,Dave Yost,11446
Champaign,Attorney General,,DEM,Jeffrey A. Crossman,3041
Clark,Attorney General,,REP,Dave Yost,30169
Clark,Attorney General,,DEM,Jeffrey A. Crossman,13607
Clermont,Attorney General,,REP,Dave Yost,57815
Clermont,Attorney General,,DEM,Jeffrey A. Crossman,22430
Clinton,Attorney General,,REP,Dave Yost,11382
Clinton,Attorney General,,DEM,Jeffrey A. Crossman,2783
Columbiana,Attorney General,,REP,Dave Yost,27304
Columbiana,Attorney General,,DEM,Jeffrey A. Crossman,8156
Coshocton,Attorney General,,REP,Dave Yost,8923
Coshocton,Attorney General,,DEM,Jeffrey A. Crossman,2443
Crawford,Attorney General,,REP,Dave Yost,11972
Crawford,Attorney General,,DEM,Jeffrey A. Crossman,2902
Cuyahoga,Attorney General,,DEM,Jeffrey A. Crossman,246231
Cuyahoga,Attorney General,,REP,Dave Yost,160639
Darke,Attorney General,,REP,Dave Yost,17135
Darke,Attorney General,,DEM,Jeffrey A. Crossman,2745
Defiance,Attorney General,,REP,Dave Yost,9743
Defiance,Attorney General,,DEM,Jeffrey A. Crossman,3664
Delaware,Attorney General,,REP,Dave Yost,60764
Delaware,Attorney General,,DEM,Jeffrey A. Crossman,38032
Erie,Attorney General,,REP,Dave Yost,17666
Erie,Attorney General,,DEM,Jeffrey A. Crossman,11181
Fairfield,Attorney General,,REP,Dave Yost,40691
Fairfield,Attorney General,,DEM,Jeffrey A. Crossman,18659
Fayette,Attorney General,,REP,Dave Yost,6955
Fayette,Attorney General,,DEM,Jeffrey A. Crossman,1528
Franklin,Attorney General,,DEM,Jeffrey A. Crossman,250814
Franklin,Attorney General,,REP,Dave Yost,174280
Fulton,Attorney General,,REP,Dave Yost,12326
Fulton,Attorney General,,DEM,Jeffrey A. Crossman,3991
Gallia,Attorney General,,REP,Dave Yost,7297
Gallia,Attorney General,,DEM,Jeffrey A. Crossman,1772
Geauga,Attorney General,,REP,Dave Yost,28529
Geauga,Attorney General,,DEM,Jeffrey A. Crossman,13912
Greene,Attorney General,,REP,Dave Yost,43565
Greene,Attorney General,,DEM,Jeffrey A. Crossman,22357
Guernsey,Attorney General,,REP,Dave Yost,9623
Guernsey,Attorney General,,DEM,Jeffrey A. Crossman,2604
Hamilton,Attorney General,,DEM,Jeffrey A. Crossman,156706
Hamilton,Attorney General,,REP,Dave Yost,146252
Hancock,Attorney General,,REP,Dave Yost,20317
Hancock,Attorney General,,DEM,Jeffrey A. Crossman,6974
Hardin,Attorney General,,REP,Dave Yost,7344
Hardin,Attorney General,,DEM,Jeffrey A. Crossman,1750
Harrison,Attorney General,,REP,Dave Yost,4085
Harrison,Attorney General,,DEM,Jeffrey A. Crossman,1107
Henry,Attorney General,,REP,Dave Yost,8093
Henry,Attorney General,,DEM,Jeffrey A. Crossman,2303
Highland,Attorney General,,REP,Dave Yost,10934
Highland,Attorney General,,DEM,Jeffrey A. Crossman,2247
Hocking,Attorney General,,REP,Dave Yost,7069
Hocking,Attorney General,,DEM,Jeffrey A. Crossman,2459
Holmes,Attorney General,,REP,Dave Yost,7505
Holmes,Attorney General,,DEM,Jeffrey A. Crossman,1134
Huron,Attorney General,,REP,Dave Yost,13889
Huron,Attorney General,,DEM,Jeffrey A. Crossman,4641
Jackson,Attorney General,,REP,Dave Yost,7044
Jackson,Attorney General,,DEM,Jeffrey A. Crossman,1864
Jefferson,Attorney General,,REP,Dave Yost,16332
Jefferson,Attorney General,,DEM,Jeffrey A. Crossman,6465
Knox,Attorney General,,REP,Dave Yost,17557
Knox,Attorney General,,DEM,Jeffrey A. Crossman,5604
Lake,Attorney General,,REP,Dave Yost,58926
Lake,Attorney General,,DEM,Jeffrey A. Crossman,34950
Lawrence,Attorney General,,REP,Dave Yost,13103
Lawrence,Attorney General,,DEM,Jeffrey A. Crossman,4345
Licking,Attorney General,,REP,Dave Yost,46682
