county,office,district,party,candidate,votes
Adams,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",7272
Allen,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",32752
Ashland,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",16381
Ashtabula,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",29709
Athens,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",17527
Auglaize,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",15252
Belmont,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",21344
Brown,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",13091
Butler,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",106443
Carroll,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",9561
Champaign,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",11932
Clark,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",43428
Clermont,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",60335
Clinton,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",11631
Columbiana,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",33171
Coshocton,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",10358
Crawford,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",14850
Cuyahoga,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",341056
Darke,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",17158
Defiance,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",11632
Delaware,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",50404
Erie,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",24978
Fairfield,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",44051
Fayette,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",7753
Franklin,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",313297
Fulton,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",13543
Gallia,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",8201
Geauga,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",29187
Greene,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",50786
Guernsey,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",10529
Hamilton,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",233198
Hancock,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",20633
Hardin,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",8014
Harrison,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",5253
Henry,Justice Of The Ohio Supreme Court 01/02,,IND,"Pfeifer, Paul E.",10198
