candidate,county,district,office,party,votes
Mike Crites,Adams,,Attorney General,Republican,4884
Richard Cordray,Adams,,Attorney General,Democratic,4589
Robert Owens,Adams,,Attorney General,Independent,570
Mike Crites,Allen,,Attorney General,Republican,26816
Richard Cordray,Allen,,Attorney General,Democratic,19158
Robert Owens,Allen,,Attorney General,Independent,1733
Mike Crites,Ashland,,Attorney General,Republican,11683
Richard Cordray,Ashland,,Attorney General,Democratic,9549
Robert Owens,Ashland,,Attorney General,Independent,1350
Richard Cordray,Ashtabula,,Attorney General,Democratic,25470
Mike Crites,Ashtabula,,Attorney General,Republican,13309
Robert Owens,Ashtabula,,Attorney General,Independent,2596
Richard Cordray,Athens,,Attorney General,Democratic,19412
Mike Crites,Athens,,Attorney General,Republican,6965
Robert Owens,Athens,,Attorney General,Independent,1315
Mike Crites,Auglaize,,Attorney General,Republican,13123
Richard Cordray,Auglaize,,Attorney General,Democratic,7566
Robert Owens,Auglaize,,Attorney General,Independent,1177
Richard Cordray,Belmont,,Attorney General,Democratic,17806
Mike Crites,Belmont,,Attorney General,Republican,8090
Robert Owens,Belmont,,Attorney General,Independent,977
Richard Cordray,Brown,,Attorney General,Democratic,9127
Mike Crites,Brown,,Attorney General,Republican,7979
Robert Owens,Brown,,Attorney General,Independent,1409
Mike Crites,Butler,,Attorney General,Republican,83226
Richard Cordray,Butler,,Attorney General,Democratic,63818
Robert Owens,Butler,,Attorney General,Independent,7709
Richard Cordray,Carroll,,Attorney General,Democratic,6121
Mike Crites,Carroll,,Attorney General,Republican,4989
Robert Owens,Carroll,,Attorney General,Independent,663
Mike Crites,Champaign,,Attorney General,Republican,8521
Richard Cordray,Champaign,,Attorney General,Democratic,8002
Robert Owens,Champaign,,Attorney General,Independent,934
Richard Cordray,Clark,,Attorney General,Democratic,34233
Mike Crites,Clark,,Attorney General,Republican,25027
Robert Owens,Clark,,Attorney General,Independent,3195
Mike Crites,Clermont,,Attorney General,Republican,49449
Richard Cordray,Clermont,,Attorney General,Democratic,32870
Robert Owens,Clermont,,Attorney General,Independent,5196
Mike Crites,Clinton,,Attorney General,Republican,10220
Richard Cordray,Clinton,,Attorney General,Democratic,6765
Robert Owens,Clinton,,Attorney General,Independent,883
Richard Cordray,Columbiana,,Attorney General,Democratic,25293
Mike Crites,Columbiana,,Attorney General,Republican,17403
Robert Owens,Columbiana,,Attorney General,Independent,2833
Richard Cordray,Coshocton,,Attorney General,Democratic,7668
Mike Crites,Coshocton,,Attorney General,Republican,5869
Robert Owens,Coshocton,,Attorney General,Independent,1611
Richard Cordray,Crawford,,Attorney General,Democratic,9398
Mike Crites,Crawford,,Attorney General,Republican,8619
Robert Owens,Crawford,,Attorney General,Independent,1280
Richard Cordray,Cuyahoga,,Attorney General,Democratic,406935
Mike Crites,Cuyahoga,,Attorney General,Republican,136738
Robert Owens,Cuyahoga,,Attorney General,Independent,21822
Mike Crites,Darke,,Attorney General,Republican,12257
Richard Cordray,Darke,,Attorney General,Democratic,8118
Robert Owens,Darke,,Attorney General,Independent,1178
Mike Crites,Defiance,,Attorney General,Republican,8538
Richard Cordray,Defiance,,Attorney General,Democratic,8382
Robert Owens,Defiance,,Attorney General,Independent,747
Mike Crites,Delaware,,Attorney General,Republican,44689
Richard Cordray,Delaware,,Attorney General,Democratic,37303
Robert Owens,Delaware,,Attorney General,Independent,3369
Richard Cordray,Erie,,Attorney General,Democratic,23127
Mike Crites,Erie,,Attorney General,Republican,13010
Robert Owens,Erie,,Attorney General,Independent,1765
Richard Cordray,Fairfield,,Attorney General,Democratic,32319
Mike Crites,Fairfield,,Attorney General,Republican,30986
Robert Owens,Fairfield,,Attorney General,Independent,2844
Mike Crites,Fayette,,Attorney General,Republican,5086
Richard Cordray,Fayette,,Attorney General,Democratic,5066
Robert Owens,Fayette,,Attorney General,Independent,659
Richard Cordray,Franklin,,Attorney General,Democratic,350631
Mike Crites,Franklin,,Attorney General,Republican,148759
Robert Owens,Franklin,,Attorney General,Independent,17151
Mike Crites,Fulton,,Attorney General,Republican,9498
Richard Cordray,Fulton,,Attorney General,Democratic,8981
Robert Owens,Fulton,,Attorney General,Independent,1037
Mike Crites,Gallia,,Attorney General,Republican,5127
Richard Cordray,Gallia,,Attorney General,Democratic,4398
Robert Owens,Gallia,,Attorney General,Independent,629
Mike Crites,Geauga,,Attorney General,Republican,21385
Richard Cordray,Geauga,,Attorney General,Democratic,21296
Robert Owens,Geauga,,Attorney General,Independent,2655
Mike Crites,Greene,,Attorney General,Republican,37535
Richard Cordray,Greene,,Attorney General,Democratic,29390
Robert Owens,Greene,,Attorney General,Independent,3321
Richard Cordray,Guernsey,,Attorney General,Democratic,8458
Mike Crites,Guernsey,,Attorney General,Republican,6385
Robert Owens,Guernsey,,Attorney General,Independent,841
Richard Cordray,Hamilton,,Attorney General,Democratic,197463
Mike Crites,Hamilton,,Attorney General,Republican,151298
Robert Owens,Hamilton,,Attorney General,Independent,19495
Mike Crites,Hancock,,Attorney General,Republican,18821
Richard Cordray,Hancock,,Attorney General,Democratic,12208
Robert Owens,Hancock,,Attorney General,Independent,1872
Mike Crites,Hardin,,Attorney General,Republican,6172
Richard Cordray,Hardin,,Attorney General,Democratic,5146
Robert Owens,Hardin,,Attorney General,Independent,603
Richard Cordray,Harrison,,Attorney General,Democratic,4225
Mike Crites,Harrison,,Attorney General,Republican,2478
Robert Owens,Harrison,,Attorney General,Independent,402
Mike Crites,Henry,,Attorney General,Republican,6363
Richard Cordray,Henry,,Attorney General,Democratic,6030
Robert Owens,Henry,,Attorney General,Independent,751
Mike Crites,Highland,,Attorney General,Republican,7978
Richard Cordray,Highland,,Attorney General,Democratic,7266
Robert Owens,Highland,,Attorney General,Independent,840
Richard Cordray,Hocking,,Attorney General,Democratic,6918
Mike Crites,Hocking,,Attorney General,Republican,4216
Robert Owens,Hocking,,Attorney General,Independent,670
Mike Crites,Holmes,,Attorney General,Republican,5436
Richard Cordray,Holmes,,Attorney General,Democratic,2910
Robert Owens,Holmes,,Attorney General,Independent,562
Richard Cordray,Huron,,Attorney General,Democratic,11747
Mike Crites,Huron,,Attorney General,Republican,9397
Robert Owens,Huron,,Attorney General,Independent,1550
Richard Cordray,Jackson,,Attorney General,Democratic,6014
Mike Crites,Jackson,,Attorney General,Republican,5389
Robert Owens,Jackson,,Attorney General,Independent,817
Richard Cordray,Jefferson,,Attorney General,Democratic,19521
Mike Crites,Jefferson,,Attorney General,Republican,10977
Robert Owens,Jefferson,,Attorney General,Independent,1918
Mike Crites,Knox,,Attorney General,Republican,12307
Richard Cordray,Knox,,Attorney General,Democratic,12048
Robert Owens,Knox,,Attorney General,Independent,1425
Richard Cordray,Lake,,Attorney General,Democratic,60210
Mike Crites,Lake,,Attorney General,Republican,39890
Robert Owens,Lake,,Attorney General,Independent,5384
Richard Cordray,Lawrence,,Attorney General,Democratic,12391
Mike Crites,Lawrence,,Attorney General,Republican,11303
Robert Owens,Lawrence,,Attorney General,Independent,1439
Richard Cordray,Licking,,Attorney General,Democratic,36864
Mike Crites,Licking,,Attorney General,Republican,33294
Robert Owens,Licking,,Attorney General,Independent,3979
Mike Crites,Logan,,Attorney General,Republican,10513
Richard Cordray,Logan,,Attorney General,Democratic,8599
Robert Owens,Logan,,Attorney General,Independent,1551
Richard Cordray,Lorain,,Attorney General,Democratic,82267
Mike Crites,Lorain,,Attorney General,Republican,40898
Robert Owens,Lorain,,Attorney General,Independent,6290
Richard Cordray,Lucas,,Attorney General,Democratic,125428
Mike Crites,Lucas,,Attorney General,Republican,54550
Robert Owens,Lucas,,Attorney General,Independent,8801
Richard Cordray,Madison,,Attorney General,Democratic,7818
Mike Crites,Madison,,Attorney General,Republican,7760
Robert Owens,Madison,,Attorney General,Independent,792
Richard Cordray,Mahoning,,Attorney General,Democratic,84257
Mike Crites,Mahoning,,Attorney General,Republican,26827
Robert Owens,Mahoning,,Attorney General,Independent,5223
Richard Cordray,Marion,,Attorney General,Democratic,14285
Mike Crites,Marion,,Attorney General,Republican,10748
Robert Owens,Marion,,Attorney General,Independent,1908
Richard Cordray,Medina,,Attorney General,Democratic,39389
Mike Crites,Medina,,Attorney General,Republican,35937
Robert Owens,Medina,,Attorney General,Independent,3394
