candidate,county,district,office,party,votes
Mike Crites,Meigs,,Attorney General,Republican,4505
Richard Cordray,Meigs,,Attorney General,Democratic,4341
Robert Owens,Meigs,,Attorney General,Independent,633
Mike Crites,Mercer,,Attorney General,Republican,11517
Richard Cordray,Mercer,,Attorney General,Democratic,6614
Robert Owens,Mercer,,Attorney General,Independent,1173
Mike Crites,Miami,,Attorney General,Republican,26471
Richard Cordray,Miami,,Attorney General,Democratic,18553
Robert Owens,Miami,,Attorney General,Independent,2569
Richard Cordray,Monroe,,Attorney General,Democratic,4425
Mike Crites,Monroe,,Attorney General,Republican,1681
Robert Owens,Monroe,,Attorney General,Independent,291
Richard Cordray,Montgomery,,Attorney General,Democratic,140394
Mike Crites,Montgomery,,Attorney General,Republican,100446
Robert Owens,Montgomery,,Attorney General,Independent,11867
Richard Cordray,Morgan,,Attorney General,Democratic,3279
Mike Crites,Morgan,,Attorney General,Republican,2433
Robert Owens,Morgan,,Attorney General,Independent,284
Mike Crites,Morrow,,Attorney General,Republican,6877
Richard Cordray,Morrow,,Attorney General,Democratic,6650
Robert Owens,Morrow,,Attorney General,Independent,1303
Richard Cordray,Muskingum,,Attorney General,Democratic,19558
Mike Crites,Muskingum,,Attorney General,Republican,14525
Robert Owens,Muskingum,,Attorney General,Independent,1563
Richard Cordray,Noble,,Attorney General,Democratic,2927
Mike Crites,Noble,,Attorney General,Republican,2298
Robert Owens,Noble,,Attorney General,Independent,318
Richard Cordray,Ottawa,,Attorney General,Democratic,12180
Mike Crites,Ottawa,,Attorney General,Republican,8008
Robert Owens,Ottawa,,Attorney General,Independent,1213
Mike Crites,Paulding,,Attorney General,Republican,4301
Richard Cordray,Paulding,,Attorney General,Democratic,4047
Robert Owens,Paulding,,Attorney General,Independent,543
Richard Cordray,Perry,,Attorney General,Democratic,8501
Mike Crites,Perry,,Attorney General,Republican,5025
Robert Owens,Perry,,Attorney General,Independent,722
Richard Cordray,Pickaway,,Attorney General,Democratic,11589
Mike Crites,Pickaway,,Attorney General,Republican,9371
Robert Owens,Pickaway,,Attorney General,Independent,972
Richard Cordray,Pike,,Attorney General,Democratic,6991
Mike Crites,Pike,,Attorney General,Republican,3881
Robert Owens,Pike,,Attorney General,Independent,571
Richard Cordray,Portage,,Attorney General,Democratic,40284
Mike Crites,Portage,,Attorney General,Republican,23828
Robert Owens,Portage,,Attorney General,Independent,4335
Mike Crites,Preble,,Attorney General,Republican,10437
Richard Cordray,Preble,,Attorney General,Democratic,7795
Robert Owens,Preble,,Attorney General,Independent,1227
Mike Crites,Putnam,,Attorney General,Republican,9295
Richard Cordray,Putnam,,Attorney General,Democratic,6287
Robert Owens,Putnam,,Attorney General,Independent,1129
Richard Cordray,Richland,,Attorney General,Democratic,28120
Mike Crites,Richland,,Attorney General,Republican,23758
Robert Owens,Richland,,Attorney General,Independent,3046
Richard Cordray,Ross,,Attorney General,Democratic,16594
Mike Crites,Ross,,Attorney General,Republican,11145
Robert Owens,Ross,,Attorney General,Independent,1196
Richard Cordray,Sandusky,,Attorney General,Democratic,15147
Mike Crites,Sandusky,,Attorney General,Republican,10628
Robert Owens,Sandusky,,Attorney General,Independent,1895
Richard Cordray,Scioto,,Attorney General,Democratic,17511
Mike Crites,Scioto,,Attorney General,Republican,11527
Robert Owens,Scioto,,Attorney General,Independent,1396
Richard Cordray,Seneca,,Attorney General,Democratic,12668
Mike Crites,Seneca,,Attorney General,Republican,9921
Robert Owens,Seneca,,Attorney General,Independent,2428
Mike Crites,Shelby,,Attorney General,Republican,11586
Richard Cordray,Shelby,,Attorney General,Democratic,8697
Robert Owens,Shelby,,Attorney General,Independent,1333
Richard Cordray,Stark,,Attorney General,Democratic,98888
Mike Crites,Stark,,Attorney General,Republican,61140
Robert Owens,Stark,,Attorney General,Independent,7873
Richard Cordray,Summit,,Attorney General,Democratic,158640
Mike Crites,Summit,,Attorney General,Republican,81362
Robert Owens,Summit,,Attorney General,Independent,10081
Richard Cordray,Trumbull,,Attorney General,Democratic,67585
Mike Crites,Trumbull,,Attorney General,Republican,24372
Robert Owens,Trumbull,,Attorney General,Independent,4214
Richard Cordray,Tuscarawas,,Attorney General,Democratic,22323
Mike Crites,Tuscarawas,,Attorney General,Republican,13857
Robert Owens,Tuscarawas,,Attorney General,Independent,1827
Mike Crites,Union,,Attorney General,Republican,12254
Richard Cordray,Union,,Attorney General,Democratic,9277
Robert Owens,Union,,Attorney General,Independent,1242
Mike Crites,Van Wert,,Attorney General,Republican,7691
Richard Cordray,Van Wert,,Attorney General,Democratic,4767
Robert Owens,Van Wert,,Attorney General,Independent,1137
Richard Cordray,Vinton,,Attorney General,Democratic,2972
Mike Crites,Vinton,,Attorney General,Republican,1902
Robert Owens,Vinton,,Attorney General,Independent,417
Mike Crites,Warren,,Attorney General,Republican,59254
Richard Cordray,Warren,,Attorney General,Democratic,32479
Robert Owens,Warren,,Attorney General,Independent,4999
Richard Cordray,Washington,,Attorney General,Democratic,13064
Mike Crites,Washington,,Attorney General,Republican,12794
Robert Owens,Washington,,Attorney General,Independent,1487
Mike Crites,Wayne,,Attorney General,Republican,22877
Richard Cordray,Wayne,,Attorney General,Democratic,20644
Robert Owens,Wayne,,Attorney General,Independent,2554
Mike Crites,Williams,,Attorney General,Republican,8236
Richard Cordray,Williams,,Attorney General,Democratic,7257
Robert Owens,Williams,,Attorney General,Independent,1061
Richard Cordray,Wood,,Attorney General,Democratic,31100
Mike Crites,Wood,,Attorney General,Republican,23576
Robert Owens,Wood,,Attorney General,Independent,3344
Mike Crites,Wyandot,,Attorney General,Republican,4756
Richard Cordray,Wyandot,,Attorney General,Democratic,4552
Robert Owens,Wyandot,,Attorney General,Independent,644
John McCain,Adams,,President,Republican,6914
Barack Obama,Adams,,President,Democratic,4170
Ralph Nader,Adams,,President,Independent,131
Chuck Baldwin,Adams,,President,Constitution,51
Bob Barr,Adams,,President,Libertarian,38
Richard Duncan,Adams,,President,Independent,30
Cynthia McKinney,Adams,,President,Green,29
Brian Moore,Adams,,President,Socialist,25
Donald Allen,Adams,,President,Independent,0
Jonathan Allen,Adams,,President,Independent,0
James Germalic,Adams,,President,Independent,0
Alan Keyes,Adams,,President,Independent,0
Platt Robertson,Adams,,President,Independent,0
Joe Schriner,Adams,,President,Independent,0
John McCain,Allen,,President,Republican,29940
Barack Obama,Allen,,President,Democratic,19522
Ralph Nader,Allen,,President,Independent,362
Bob Barr,Allen,,President,Libertarian,196
Chuck Baldwin,Allen,,President,Constitution,123
Cynthia McKinney,Allen,,President,Green,75
Richard Duncan,Allen,,President,Independent,26
Brian Moore,Allen,,President,Socialist,19
Donald Allen,Allen,,President,Independent,0
Jonathan Allen,Allen,,President,Independent,0
James Germalic,Allen,,President,Independent,0
Alan Keyes,Allen,,President,Independent,0
Platt Robertson,Allen,,President,Independent,0
Joe Schriner,Allen,,President,Independent,0
John McCain,Ashland,,President,Republican,15158
Barack Obama,Ashland,,President,Democratic,9300
Chuck Baldwin,Ashland,,President,Constitution,243
Ralph Nader,Ashland,,President,Independent,225
Bob Barr,Ashland,,President,Libertarian,117
Cynthia McKinney,Ashland,,President,Green,76
Richard Duncan,Ashland,,President,Independent,31
Brian Moore,Ashland,,President,Socialist,17
Joe Schriner,Ashland,,President,Independent,1
Donald Allen,Ashland,,President,Independent,0
Jonathan Allen,Ashland,,President,Independent,0
James Germalic,Ashland,,President,Independent,0
Alan Keyes,Ashland,,President,Independent,0
Platt Robertson,Ashland,,President,Independent,0
Barack Obama,Ashtabula,,President,Democratic,25027
John McCain,Ashtabula,,President,Republican,18949
Ralph Nader,Ashtabula,,President,Independent,456
Bob Barr,Ashtabula,,President,Libertarian,174
Chuck Baldwin,Ashtabula,,President,Constitution,129
Cynthia McKinney,Ashtabula,,President,Green,71
Richard Duncan,Ashtabula,,President,Independent,42
Brian Moore,Ashtabula,,President,Socialist,25
Joe Schriner,Ashtabula,,President,Independent,1
Donald Allen,Ashtabula,,President,Independent,0
Jonathan Allen,Ashtabula,,President,Independent,0
James Germalic,Ashtabula,,President,Independent,0
Alan Keyes,Ashtabula,,President,Independent,0
Platt Robertson,Ashtabula,,President,Independent,0
Barack Obama,Athens,,President,Democratic,20722
John McCain,Athens,,President,Republican,9742
Ralph Nader,Athens,,President,Independent,263
Bob Barr,Athens,,President,Libertarian,140
Chuck Baldwin,Athens,,President,Constitution,109
Cynthia McKinney,Athens,,President,Green,85
Richard Duncan,Athens,,President,Independent,19
Brian Moore,Athens,,President,Socialist,16
Joe Schriner,Athens,,President,Independent,2
Donald Allen,Athens,,President,Independent,0
Jonathan Allen,Athens,,President,Independent,0
James Germalic,Athens,,President,Independent,0
Alan Keyes,Athens,,President,Independent,0
Platt Robertson,Athens,,President,Independent,0
John McCain,Auglaize,,President,Republican,16414
Barack Obama,Auglaize,,President,Democratic,6738
Ralph Nader,Auglaize,,President,Independent,169
Bob Barr,Auglaize,,President,Libertarian,87
Chuck Baldwin,Auglaize,,President,Constitution,53
Cynthia McKinney,Auglaize,,President,Green,31
Richard Duncan,Auglaize,,President,Independent,17
Brian Moore,Auglaize,,President,Socialist,7
Donald Allen,Auglaize,,President,Independent,0
Jonathan Allen,Auglaize,,President,Independent,0
James Germalic,Auglaize,,President,Independent,0
Alan Keyes,Auglaize,,President,Independent,0
Platt Robertson,Auglaize,,President,Independent,0
Joe Schriner,Auglaize,,President,Independent,0
Barack Obama,Belmont,,President,Democratic,16302
John McCain,Belmont,,President,Republican,15422
Ralph Nader,Belmont,,President,Independent,402
Bob Barr,Belmont,,President,Libertarian,104
Chuck Baldwin,Belmont,,President,Constitution,70
Cynthia McKinney,Belmont,,President,Green,52
Richard Duncan,Belmont,,President,Independent,32
Brian Moore,Belmont,,President,Socialist,25
Alan Keyes,Belmont,,President,Independent,1
Joe Schriner,Belmont,,President,Independent,1
Donald Allen,Belmont,,President,Independent,0
Jonathan Allen,Belmont,,President,Independent,0
James Germalic,Belmont,,President,Independent,0
Platt Robertson,Belmont,,President,Independent,0
John McCain,Brown,,President,Republican,12192
Barack Obama,Brown,,President,Democratic,7503
Ralph Nader,Brown,,President,Independent,220
Bob Barr,Brown,,President,Libertarian,84
Chuck Baldwin,Brown,,President,Constitution,50
Cynthia McKinney,Brown,,President,Green,32
Richard Duncan,Brown,,President,Independent,26
Brian Moore,Brown,,President,Socialist,6
Donald Allen,Brown,,President,Independent,0
Jonathan Allen,Brown,,President,Independent,0
James Germalic,Brown,,President,Independent,0
Alan Keyes,Brown,,President,Independent,0
Platt Robertson,Brown,,President,Independent,0
Joe Schriner,Brown,,President,Independent,0
John McCain,Butler,,President,Republican,105341
Barack Obama,Butler,,President,Democratic,66030
Ralph Nader,Butler,,President,Independent,1039
Bob Barr,Butler,,President,Libertarian,642
Chuck Baldwin,Butler,,President,Constitution,327
Cynthia McKinney,Butler,,President,Green,222
Richard Duncan,Butler,,President,Independent,104
Brian Moore,Butler,,President,Socialist,66
Alan Keyes,Butler,,President,Independent,6
Donald Allen,Butler,,President,Independent,0
Jonathan Allen,Butler,,President,Independent,0
James Germalic,Butler,,President,Independent,0
Platt Robertson,Butler,,President,Independent,0
Joe Schriner,Butler,,President,Independent,0
John McCain,Carroll,,President,Republican,7097
Barack Obama,Carroll,,President,Democratic,6423
Ralph Nader,Carroll,,President,Independent,213
Chuck Baldwin,Carroll,,President,Constitution,73
Bob Barr,Carroll,,President,Libertarian,64
Cynthia McKinney,Carroll,,President,Green,45
Richard Duncan,Carroll,,President,Independent,25
Brian Moore,Carroll,,President,Socialist,13
Donald Allen,Carroll,,President,Independent,0
Jonathan Allen,Carroll,,President,Independent,0
James Germalic,Carroll,,President,Independent,0
Alan Keyes,Carroll,,President,Independent,0
Platt Robertson,Carroll,,President,Independent,0
Joe Schriner,Carroll,,President,Independent,0
John McCain,Champaign,,President,Republican,11141
Barack Obama,Champaign,,President,Democratic,7385
Ralph Nader,Champaign,,President,Independent,196
Bob Barr,Champaign,,President,Libertarian,70
Cynthia McKinney,Champaign,,President,Green,35
Chuck Baldwin,Champaign,,President,Constitution,33
Richard Duncan,Champaign,,President,Independent,18
Brian Moore,Champaign,,President,Socialist,9
Donald Allen,Champaign,,President,Independent,0
Jonathan Allen,Champaign,,President,Independent,0
James Germalic,Champaign,,President,Independent,0
Alan Keyes,Champaign,,President,Independent,0
Platt Robertson,Champaign,,President,Independent,0
Joe Schriner,Champaign,,President,Independent,0
John McCain,Clark,,President,Republican,33634
Barack Obama,Clark,,President,Democratic,31958
Ralph Nader,Clark,,President,Independent,661
Bob Barr,Clark,,President,Libertarian,217
Chuck Baldwin,Clark,,President,Constitution,130
Cynthia McKinney,Clark,,President,Green,110
Richard Duncan,Clark,,President,Independent,35
Brian Moore,Clark,,President,Socialist,25
Donald Allen,Clark,,President,Independent,0
Jonathan Allen,Clark,,President,Independent,0
James Germalic,Clark,,President,Independent,0
Alan Keyes,Clark,,President,Independent,0
Platt Robertson,Clark,,President,Independent,0
Joe Schriner,Clark,,President,Independent,0
John McCain,Clermont,,President,Republican,62559
Barack Obama,Clermont,,President,Democratic,31611
Ralph Nader,Clermont,,President,Independent,599
Bob Barr,Clermont,,President,Libertarian,362
Chuck Baldwin,Clermont,,President,Constitution,169
Cynthia McKinney,Clermont,,President,Green,122
Richard Duncan,Clermont,,President,Independent,44
Brian Moore,Clermont,,President,Socialist,13
Alan Keyes,Clermont,,President,Independent,1
Donald Allen,Clermont,,President,Independent,0
Jonathan Allen,Clermont,,President,Independent,0
James Germalic,Clermont,,President,Independent,0
Platt Robertson,Clermont,,President,Independent,0
Joe Schriner,Clermont,,President,Independent,0
John McCain,Clinton,,President,Republican,12409
Barack Obama,Clinton,,President,Democratic,6558
Ralph Nader,Clinton,,President,Independent,197
Bob Barr,Clinton,,President,Libertarian,67
Chuck Baldwin,Clinton,,President,Constitution,34
Cynthia McKinney,Clinton,,President,Green,21
Richard Duncan,Clinton,,President,Independent,11
Brian Moore,Clinton,,President,Socialist,8
Donald Allen,Clinton,,President,Independent,0
Jonathan Allen,Clinton,,President,Independent,0
James Germalic,Clinton,,President,Independent,0
Alan Keyes,Clinton,,President,Independent,0
Platt Robertson,Clinton,,President,Independent,0
Joe Schriner,Clinton,,President,Independent,0
John McCain,Columbiana,,President,Republican,25585
Barack Obama,Columbiana,,President,Democratic,21882
Ralph Nader,Columbiana,,President,Independent,545
Bob Barr,Columbiana,,President,Libertarian,143
Chuck Baldwin,Columbiana,,President,Constitution,135
Cynthia McKinney,Columbiana,,President,Green,94
Richard Duncan,Columbiana,,President,Independent,64
Brian Moore,Columbiana,,President,Socialist,30
Donald Allen,Columbiana,,President,Independent,7
Alan Keyes,Columbiana,,President,Independent,2
Jonathan Allen,Columbiana,,President,Independent,0
James Germalic,Columbiana,,President,Independent,0
Platt Robertson,Columbiana,,President,Independent,0
Joe Schriner,Columbiana,,President,Independent,0
John McCain,Coshocton,,President,Republican,8675
Barack Obama,Coshocton,,President,Democratic,7689
Ralph Nader,Coshocton,,President,Independent,221
Bob Barr,Coshocton,,President,Libertarian,86
Chuck Baldwin,Coshocton,,President,Constitution,74
Cynthia McKinney,Coshocton,,President,Green,65
Richard Duncan,Coshocton,,President,Independent,33
Brian Moore,Coshocton,,President,Socialist,20
Donald Allen,Coshocton,,President,Independent,0
Jonathan Allen,Coshocton,,President,Independent,0
James Germalic,Coshocton,,President,Independent,0
Alan Keyes,Coshocton,,President,Independent,0
Platt Robertson,Coshocton,,President,Independent,0
Joe Schriner,Coshocton,,President,Independent,0
John McCain,Crawford,,President,Republican,12316
Barack Obama,Crawford,,President,Democratic,8289
Ralph Nader,Crawford,,President,Independent,242
Bob Barr,Crawford,,President,Libertarian,105
Chuck Baldwin,Crawford,,President,Constitution,80
Cynthia McKinney,Crawford,,President,Green,71
Richard Duncan,Crawford,,President,Independent,37
Brian Moore,Crawford,,President,Socialist,34
Donald Allen,Crawford,,President,Independent,0
Jonathan Allen,Crawford,,President,Independent,0
James Germalic,Crawford,,President,Independent,0
Alan Keyes,Crawford,,President,Independent,0
Platt Robertson,Crawford,,President,Independent,0
Joe Schriner,Crawford,,President,Independent,0
Barack Obama,Cuyahoga,,President,Democratic,458422
John McCain,Cuyahoga,,President,Republican,199880
Ralph Nader,Cuyahoga,,President,Independent,3616
Bob Barr,Cuyahoga,,President,Libertarian,1477
Chuck Baldwin,Cuyahoga,,President,Constitution,820
Cynthia McKinney,Cuyahoga,,President,Green,711
Richard Duncan,Cuyahoga,,President,Independent,216
Brian Moore,Cuyahoga,,President,Socialist,144
Alan Keyes,Cuyahoga,,President,Independent,41
Joe Schriner,Cuyahoga,,President,Independent,21
Donald Allen,Cuyahoga,,President,Independent,3
James Germalic,Cuyahoga,,President,Independent,1
Jonathan Allen,Cuyahoga,,President,Independent,0
Platt Robertson,Cuyahoga,,President,Independent,0
John McCain,Darke,,President,Republican,17290
Barack Obama,Darke,,President,Democratic,7964
Ralph Nader,Darke,,President,Independent,273
Bob Barr,Darke,,President,Libertarian,97
Cynthia McKinney,Darke,,President,Green,69
Chuck Baldwin,Darke,,President,Constitution,59
Richard Duncan,Darke,,President,Independent,26
Brian Moore,Darke,,President,Socialist,15
Donald Allen,Darke,,President,Independent,0
Jonathan Allen,Darke,,President,Independent,0
James Germalic,Darke,,President,Independent,0
Alan Keyes,Darke,,President,Independent,0
Platt Robertson,Darke,,President,Independent,0
Joe Schriner,Darke,,President,Independent,0
John McCain,Defiance,,President,Republican,10407
Barack Obama,Defiance,,President,Democratic,8399
Ralph Nader,Defiance,,President,Independent,154
Chuck Baldwin,Defiance,,President,Constitution,91
Bob Barr,Defiance,,President,Libertarian,81
Cynthia McKinney,Defiance,,President,Green,37
Richard Duncan,Defiance,,President,Independent,14
Brian Moore,Defiance,,President,Socialist,12
Alan Keyes,Defiance,,President,Independent,2
Donald Allen,Defiance,,President,Independent,0
Jonathan Allen,Defiance,,President,Independent,0
James Germalic,Defiance,,President,Independent,0
Platt Robertson,Defiance,,President,Independent,0
Joe Schriner,Defiance,,President,Independent,0
John McCain,Delaware,,President,Republican,54778
Barack Obama,Delaware,,President,Democratic,36653
Ralph Nader,Delaware,,President,Independent,359
Bob Barr,Delaware,,President,Libertarian,339
Chuck Baldwin,Delaware,,President,Constitution,153
Cynthia McKinney,Delaware,,President,Green,77
Richard Duncan,Delaware,,President,Independent,36
Brian Moore,Delaware,,President,Socialist,16
Donald Allen,Delaware,,President,Independent,3
Alan Keyes,Delaware,,President,Independent,3
Joe Schriner,Delaware,,President,Independent,2
Jonathan Allen,Delaware,,President,Independent,0
James Germalic,Delaware,,President,Independent,0
Platt Robertson,Delaware,,President,Independent,0
Barack Obama,Erie,,President,Democratic,23148
John McCain,Erie,,President,Republican,17432
Ralph Nader,Erie,,President,Independent,349
Bob Barr,Erie,,President,Libertarian,125
Chuck Baldwin,Erie,,President,Constitution,70
Cynthia McKinney,Erie,,President,Green,56
Richard Duncan,Erie,,President,Independent,39
Brian Moore,Erie,,President,Socialist,10
Donald Allen,Erie,,President,Independent,0
Jonathan Allen,Erie,,President,Independent,0
James Germalic,Erie,,President,Independent,0
Alan Keyes,Erie,,President,Independent,0
Platt Robertson,Erie,,President,Independent,0
Joe Schriner,Erie,,President,Independent,0
John McCain,Fairfield,,President,Republican,41580
Barack Obama,Fairfield,,President,Democratic,29250
Ralph Nader,Fairfield,,President,Independent,493
Bob Barr,Fairfield,,President,Libertarian,267
Chuck Baldwin,Fairfield,,President,Constitution,160
Cynthia McKinney,Fairfield,,President,Green,109
