county,office,district,party,candidate,votes
Stark,1,,,Unknown,0
Logan,10052,,,Unknown,0
Cuyahoga,1025,,,Unknown,0
Jefferson,10296,,,Unknown,0
Ashtabula,10305,,,Unknown,0
Union,10492,,,Unknown,0
Mahoning,10655,,,Unknown,0
Washington,10662,,,Unknown,0
Medina,10969,,,Unknown,0
Richland,10972,,,Unknown,0
Auglaize,10975,,,Unknown,0
Mahoning,11,,,Unknown,0
Trumbull,11,,,Unknown,0
Darke,11122,,,Unknown,0
Fayette,1114,,,Unknown,0
Shelby,11235,,,Unknown,0
Clermont,11238,,,Unknown,0
Stark,11343,,,Unknown,0
Fayette,1137,,,Unknown,0
Wood,11477,,,Unknown,0
Mercer,1156,,,Unknown,0
Marion,116,,,Unknown,0
Wyandot,1176,,,Unknown,0
Richland,11823,,,Unknown,0
Greene,11846,,,Unknown,0
Vinton,1185,,,Unknown,0
Erie,11887,,,Unknown,0
Ashland,11905,,,Unknown,0
Morgan,1197,,,Unknown,0
Geauga,1208,,,Unknown,0
Mahoning,12107,,,Unknown,0
Licking,12143,,,Unknown,0
Lorain,12207,,,Unknown,0
Cuyahoga,122279,,,Unknown,0
Summit,1226,,,Unknown,0
Fairfield,12611,,,Unknown,0
Medina,12634,,,Unknown,0
Noble,128,,,Unknown,0
Ashtabula,1284,,,Unknown,0
Delaware,12862,,,Unknown,0
Cuyahoga,12939,,,Unknown,0
Portage,12992,,,Unknown,0
Clark,13360,,,Unknown,0
Summit,13467,,,Unknown,0
Knox,13549,,,Unknown,0
Van Wert,1371,,,Unknown,0
Warren,14037,,,Unknown,0
Tuscarawas,14140,,,Unknown,0
Erie,1419,,,Unknown,0
Summit,14344,,,Unknown,0
Lorain,14464,,,Unknown,0
Ashtabula,14575,,,Unknown,0
Summit,14826,,,Unknown,0
Hancock,14854,,,Unknown,0
Lorain,15016,,,Unknown,0
Trumbull,15862,,,Unknown,0
Hardin,1622,,,Unknown,0
Noble,1641,,,Unknown,0
Columbiana,16738,,,Unknown,0
Franklin,17,,,Unknown,0
Miami,1718,,,Unknown,0
Henry,1732,,,Unknown,0
Summit,17647,,,Unknown,0
Putnam,1771,,,Unknown,0
Paulding,1775,,,Unknown,0
Lorain,17891,,,Unknown,0
Lucas,18,,,Unknown,0
Greene,1822,,,Unknown,0
Licking,1852,,,Unknown,0
Meigs,1873,,,Unknown,0
Muskingum,188,,,Unknown,0
Wayne,18911,,,Unknown,0
Clark,1892,,,Unknown,0
Cuyahoga,19,,,Unknown,0
Erie,19,,,Unknown,0
Fayette,192,,,Unknown,0
Trumbull,1928,,,Unknown,0
Harrison,193,,,Unknown,0
Delaware,1935,,,Unknown,0
